作者,打分,评论
鬼畜空间,很差,没啥可说的，朋友送的票，看完后我和朋友绝交了
老朝奉,很差,为之前的一星电影道个歉
肖尔布拉克,很差,比这部电影更恶心的是那些专家的无耻与下流，这部电影的宣传营销以及电影本身是本世纪最大的谎言！
夏日扬帆,很差,王力宏得救了
六十二楼,很差,毕导有个好岳父！比电影烂更恐怖的是那些一本正经胡说八道的专家学者教授们！
Jonathan,很差,真棒👍🏻中国电影有未来！
深渊猫猫,很差,这电影就学生业余话剧的水平，有些非戏剧专业大学生都比这破片演得好，这剧本有头无尾一点深度都没有。毕导你自己想想毕业至今没有一份演艺圈正二八经的工作是为什么，我不侮辱博士但毕导读博士绝对是因为自个水平太差没办法就业，吃软饭和嫁入豪门是毕导唯一的本事和成就
与你走天涯,很差,若能让我再选一次，打死我不都不会去看了！
摆渡,力荐,去电影看过七八次电影，都想打瞌睡。这是唯一全程看完的，感觉秒杀国内很多大片。虽然有些地方没拍好，毕竟导演年轻，多努力，期待新作品
Tadashi,很差,看了一分钟预告片就想吐了，对照着热评第一想了想，如果本片的导演和张嘉佳以及周立波分别被绑在三条铁轨上，我开火车必须选择一条，那我会想尽一切办法把他们三个都碾死
LEVEL EEE,很差,烂片常有，而这么硬气的烂片不常有。P、B、C、L四种片之外首创_（下划线）型毁灭世界级烂片
forfaen,很差,纯洁的是导演空荡荡的大脑吧
momo,很差,这片子什么水平自己没点数吗。北大站台？北大这水平吗。联系整个事件看，一场大型行为艺术，尤其是把那些吹捧剪成物料放出来这一点（猪队友）。看了导演的采访视频和他出版的书籍节选，我觉得他好像是蠢…不是故意的…
火山上的一坨石,很差,来打我啊
Doe,很差,13块钱见证历史，你值得拥有。
山南是大神,很差,本世纪最大谎言。
等雨停,很差,为了让《爱情公寓电影版》成为最低分，而给《逐梦》打满分的行为，是非常愚蠢的，希望大家不要再刷满分了。谢谢。看到这样的情况，我真的很心痛啊。
月亮的洛夫古德,很差,主题曲使我死亡。
有心打扰,很差,我们没有放弃，我们坚持过来了，对不对？对不对？”我也真的是坚持过来了...友情建议：从第一分钟开始，就当作喜剧片看。（当然了，这里还得跟喜剧片说声对不起。）
户田惠土豆香,很差,听说还要出2，很厉害，为导演的精神打call
王甩甩,很差,老子看了全片 听了主题曲 看了mv
Jambo@碎片,很差,总觉得这是种洗钱手法。
艾伦不要抽筋,很差,不吹不黑，大师作品。镜头构图神奇，人物在说话的时候，常常被切掉了眼睛，这绝对是在暗示角色被演艺圈蒙蔽了双眼。全场长焦拍摄，氛围控制堪比卡索维茨。等下，居然还有新葡京的广告在画面上方飘过，完美继承戈达尔的结构。真是屌炸！（我好像看的是枪版
CC学心理,很差,“多多花费金钱和时间就能创作出艺术作品吗？艺术不是那样的东西。”by 小津安二郎。  本片证明了这句话。
000nowayout,很差,我是认认真真的看过之后才来认认真真的说它烂的。
艾晨,很差,去死
无聊的猫猫头,很差,想骗我去电影院看？！！如果豆瓣不出负分真的是对不起认真做电影电视的人！
挠挠,很差,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。母校第一次内涵了“这是北大和电影学院教育的结果”
北方耐心的人参,很差,变吐边看完，绝对有资格打分，十年磨一剑就是这玩意，有时候努力果然没什么用，豆瓣怎么没有负分啊
华教授,很差,郭敬明请来拔高自己的，鉴定完毕
陆钓雪de飘飘,很差,我竟无言以对。
白起的夫人,很差,真的是太烂的 吹的那么好干什么啊 真的好奇怪 啧啧啧啥电影
Grapher,很差,我们老师今天跟我们谈这个片…他说这个片的演员和后期都是他的好朋友…大一不懂事，以为有活了，就去拍…后期都疯了
小米=qdmimi,很差,主要讲述了斗鸡眼老师妄图变身老鸨子最后失败的故事。当然没什么意外，看过后就像冠希想从硬盘上抹干净自拍视频那样急切地想消灭它的每一个字节。然而听了一个采访导演毕志飞的节目，感觉这厮是有自知之明和容人之量的，不得不怀疑这真的是一次碰瓷儿实验，我真是疯了，吃完屎还分析成分……
潋 | Béatrice,很差,吃相难看
华教授,很差,郭敬明请来拔高自己的，鉴定完毕
陆钓雪de飘飘,很差,我竟无言以对。
白起的夫人,很差,真的是太烂的 吹的那么好干什么啊 真的好奇怪 啧啧啧啥电影
Grapher,很差,我们老师今天跟我们谈这个片…他说这个片的演员和后期都是他的好朋友…大一不懂事，以为有活了，就去拍…后期都疯了
小米=qdmimi,很差,主要讲述了斗鸡眼老师妄图变身老鸨子最后失败的故事。当然没什么意外，看过后就像冠希想从硬盘上抹干净自拍视频那样急切地想消灭它的每一个字节。然而听了一个采访导演毕志飞的节目，感觉这厮是有自知之明和容人之量的，不得不怀疑这真的是一次碰瓷儿实验，我真是疯了，吃完屎还分析成分……
潋 | Béatrice,很差,吃相难看
WSalomé,很差,但凡有一点羞耻心的人，造出这种作品来，都应该羞愧到去自裁……
人美嘴甜克罗斯,很差,大家冷静一点！！！两坨翔是不需要分出胜负的！！！
辛巴,很差,突然感觉有点对不起我以前骂过的烂片~真的想一脚把毕志飞这姨妈脸踩进屎坑  从哪里来 到哪里去
不良生,很差,我这一生，从未主动谋害过他人，为何要让这部电影来辣我的双眼！
一灯,很差,让纯洁成为国家和北大的热词吧！
K1lin,很差,臭閪 电影海报的美工需要来杯82年的姨妈清醒清醒
霜之凋零,很差,看看导演写的脑残歌词。“逐梦 逐梦 逐梦演艺圈圈圈圈圈圈圈圈圈圈圈圈我们是纯洁纯洁纯洁纯洁纯洁的少年带着我从小的美丽梦想要成为一名伟大而骄傲的演员” 什么时候演员都伟大还骄傲了？因为赚钱快吗？这样的电影和歌词不是毒害青少年么。广电那帮“人”是怎么审的啊！
大场鸫,很差,逐梦 逐梦 逐梦演艺圈圈圈圈圈圈圈圈圈圈圈圈
看不见我,很差,海报辣眼，导演还站中间扎心
SingLesinger,很差,药店碧莲吧。
青衣浅烟,很差,这好歹也是一部载入中国电影史的作品。
Nemooo,很差,金鸡奖瑟瑟发抖
春酒,推荐,最起码是原创！！！
腿仔仔🍖,很差,看了剧照觉得什么几把牛鬼蛇神都能跑出来拍电影啦？？？别的都不说把就这构图这色调，真的还不如我手机拍出来的，恶心的一逼碰瓷狗滚粗
没有办法的事,很差,欢迎大家欣赏来自塞纳河48的满分主题曲“逐梦（chu）演艺圈”的MV
胡小猴,很差,哈哈，人间喜剧。
奥蒂安斯,很差,你们这些不看片就打一星的太不负责任了！我看了原海报和预告片，听了几秒主题曲，算了，我尽力了……我只能不负责任一回了……
tintin,很差,我看了十分钟实在受不了了，其实本片很有意义，揪出多少砖家
Jeannels,很差,哈哈哈哈哈哈哈
许泽Sylvia,很差,就这从头烂到尾、从里烂到外的电影还要来蹭豆瓣热度？恶不恶心？
青杉,力荐,一部21世纪中国伟大的纪录片！深刻反映了中国娱乐圈现状！知乎吃瓜群众留。
阿月混子,较差,1，看了。凭良心说，真不能算最烂的，更烂的可以看我创建的豆列。2，竟然是在我海南大学拍的，这是对我母校黑的最严重的一次了。3，这部电影也不是一无是处，电影和主题曲的评论让我笑了一天。
岛上的夏奈,很差,贴豆瓣两年也算不容易了
飞夺座山雕,力荐,哈哈哈哈给电影宣发打十分
KalL尽欢,很差,请导演收起你的自尊心吧，12年拉出了一坨屎，以医学的角度来说这就已经是绝症了。
雅典娜,很差,大过年的，再给人民群众添一次堵吗？只恨豆瓣没有负分，不然2.0就是你的最高分了
简空,很差,看过你们路演视频，竟然自称“千人自发观影”，“掌声雷动”……导演你们还能再假点吗？
黎余,力荐,牛逼…
爱与诚,推荐,为什么不给年轻人一点鼓励呢，颜值，好像，比那些网剧好一点吧
月亮,很差,我知道《爱情公墓》很烂很不要脸，但因此给这部片刷五星的话说说就好别当真行吗，我们把这两部片一起钉在耻辱柱上不好吗？？？
陆中怀,很差,真是谢谢毕导没拆开拍成十一部电影！！！
想喝奶茶啊啊啊,很差,不能打零分是个bug啊，请求豆瓣程序员考虑一下～
flylovely,很差,都说烂，那么大家携起手来抵制，千万不要上院线去看哦！
SpongeBabe,很差,导演想在大年初一重映 因为评分史上最低要求豆瓣赔钱？？？我总隐隐怀疑他不蠢 电影上映之后的各种话题其实是他精心策划的一部抨击影视业乱象的实验作品
杳杳,很差,"毕志飞采访说""从来没有电影遇到我们这种一上映都是2.0的情况""是因为几乎没有电影如此垃圾好么谢谢💩天啊他心里还真没有b数"
大气不污染,力荐,我一直认为毕志飞导演的逐梦心灵，是部现实反讽主义手法导出的片子。片子质量只是个想要展现的结果，该分析的不仅是内部剧情，还要结合片外故事。例如如此多的教授专家一片叫好，齐开座谈会，暗地展现了多少娱乐圈败象。你们的目光都被局限在片子本身，而毕导无数张海报早已告诉你故事的焦点，就是毕导本身啊！毕导的水准早已超过了当代导演的范畴，他早以为自己和周围乱糟糟的博士教授专家老师们这群魑魅魍魉，写好了人生的剧本！他当真是宁可牺牲自己的未来前途，也要在这黑暗的逐梦圈烧起一把指路的火！
方枪枪,很差,看完了这部传说中的神片，现在终于可以安心地打分了。
一得阁的鸽,很差,那些因为觉得爱情公寓烂就给毕导打五星的人不配评分。
薇罗妮卡,很差,本来想打五颗星 但是：怎么办 怎么办 爸爸妈妈说不许不许 叔叔阿姨说NO NO NO NO 哥哥姐姐也说算了算了 我也是这么想的！
康康哥哥,很差,演艺圈……真的有纯洁么？
ssdd,很差,烂片自己悄悄烂就可以了，还要这样炒作下来恶心别人就是你的不对了
SHIN JOKER,很差,去年好奇，欣赏本片，不知所云，不明觉厉。悬疑烧脑，搞笑感人，杨德昌看了会下跪，诺兰看了会流泪。演艺圈的男男女女不纯净，我为了表演事业俯首甘为孺子牛，这片子，大概是在歌颂人民教师吧。
苏妄言,很差,来晚了，不好意思！
雪丘上的杯子,很差,“千万不要因为好奇去看那部电影，有些东西让它自生自灭就好了。”
Chels,很差,我就不买电影票，就不进电影院支持，就不！
豆友3534524,很差,你们有没有想过，为了《爱情公寓》来给这部垃圾打五星。不就被毕博士说中了，豆瓣分数毫无意义，我给一星，合情合理合法
阿鲁,很差,听了一分钟的主题曲。。。。请赔我双耳。。。。。。。
神秘的东方工匠,很差,演艺圈的梦就那么好逐？这种项目策划案业内公司10秒就会垃圾桶，顺便把发的人拉黑。您骗来圈儿外热钱都没硬起来还赖炕不行？连对资本负责的勇气都没有，改期到啥时候也不好使，一日游院线给您拍片过1都见鬼了。炒负面营销也是有质量底线的，还起诉平台，出门被群殴了您起诉村委会不？该干嘛干嘛吧。
馋猫麦昆,很差,豆瓣史上最低分电影，还不快去电影院看，不看没机会了，接下来估计哪个平台都不愿意放这么烂的片子的，不看是一辈子的遗憾。
修仙在于坚持！,较差,怎么了，我们毕导一没骗你钱，二没抄袭搞盗版，而且还认认真真的在拍片子，说不定努努力以后还能搞点成绩，和那种一心割韭菜骗钱的骗子电影比起来难道我们毕导不值个二星吗！难道还比不上那些抄袭狗诈骗片吗！
Obtson,很差,纷繁复杂的多线结构师承墨西哥天王伊纳里图，利用大量独白推动叙事隔空致敬王家卫《堕落天使》，精心设计的中场休息是对好莱坞黄金时代大制片厂制度的追思，试图原貌呈现社会病灶的主题诉求透着意大利新现实主义的影子。
独脚鸟,力荐,看来我们都错怪了毕导，人家真的是想把他身边的黑暗揭露出来拍成电影2333
momo,很差,毕导！呜呜我对不起您，对比爱情公寓您起码没有诈骗！我要给您改成：两星！……不抖机灵了还是一星吧！我们是纯洁的少年～
马斯、,很差,虽然没看过但是觉得只是一部优秀的，具有里程碑一样的电影
余生皆假期,很差,十年磨一剑，绝了。
qw0aszx,很差,虽然有部分段落的确达到了成为so bad it's good的cult moment，但总体没那么多脱线到极致的笑点啊，娱乐度怎么和超强台风还有富春山居图比，所以说亮点还是在主题曲上嘛 0.9分☆
STUDIO,很差,今年再来一次，就是为了让更多人看看它有多烂吗，这种圈钱的思路要给你鼓个掌吗😷
张兮兮,很差,什么时候你感到中国电影没救了？看到《逐梦演艺圈》的时候。什么时候你感到中国电影还有救？都在骂《逐梦演艺圈》的时候
鹤溪,力荐,一部伟大的纪实作品，应该被放在纪录片这个分类的。
鱼摆摆,很差,这一分给那些捧臭脚的所谓专家，不要脸到了极致，到底收了多少钱？
幕天席地,很差,我居然把主题曲听完了
轰洪哄烘🚌,很差,请永远在评分上2下去吧
杨三月_,很差,导演用影片讽刺演艺圈的黑幕，自己却靠着黑幕考上北电和北大，如果这是导演精心安排的戏剧冲突，那可真不是冲突了，是冲击……我感觉导演就是魔幻现实主义本人了……
三胖子,很差,如果所有人都打一星的话，最终得分是2
凹凸,很差,电影让人的生命延长了3倍 而毕导让这98分钟变得比98小时还漫长
桃之夭夭,很差,能拍出一部什么优点都找不出的电影也是厉害
Seahurt,很差,我在想这么低的分是不是也是一种另类的炒作？
Wayne,很差,个人10s年代最佳作！毕导的群像叙事极其反常规，不同于奥尔特曼的《高斯福庄园》，毕导已然不屑于进行普通的人物刻画，而是如塔可夫斯基《镜子》般的散文叙事并用魔幻现实主义的手法不断引领观众窥探每个角色的内心。在这其中，毕导刻意安排演员进行粗制滥造的表演，正是一种反“大众”的行为。整部影片都流淌着新浪潮的血液，旁白秒回《射杀钢琴师》，ppt翻页致敬《堤》，刻意安排的剧情以此来打破“第四面墙”是对《狂人皮埃罗》的终极致敬！颇具有讽刺意味的电影标题，独树一帜的场面调度以及摄影机从不捕捉主体的肆意拍摄，让我们真真正正地感受到了影像的自由。我们谈论电影，但究竟什么是电影？毕导带领我们走进了影像内部，强调作者导演，回归影像本质，打造一部完完全全不属于“电影”的电影，缔造影像神话！主题上足以媲美《神圣车行》！
三和后浪える酱,很差,常规电影豆瓣评分9.6基本是天花板，这JB玩意儿存世唯一价值大约是提供打分机制的地板......
hwf254,很差,我一直覺得台北物語應該是今年(近年)最爛了 沒想到還有這一部千年一遇的純潔心靈 果然一山還有一山爛 長江後爛推前爛 導演你連給Ed wood提鞋都不配!!!  最喜歡文老師在海邊被爆打的那場戲 拿來做gif  還有那主題曲 海報 本片非常適合當電影反面教材 人不要X 天下無敵  
阿拉贝贝,很差,不要洗地了！真没什么好洗的！
正儿八经小年轻,很差,豆瓣为何没有负分？？？
谁与争锋,很差,这部电影很考验观众们的演技。
Enjambement,很差,“我认为导演提现了北大精神”。
拾悦鱼,很差,听说毕导把豆瓣投诉到上面了，谴责豆瓣的不公平点评。我翻了下片子的条目，点评数竟然达四万多，我个人觉得按照国人尿性，这里面真去看的，不会超过1000，多是跟风调戏，政治正确，这对毕导确实不公平。为此我专门看了下这片的枪版，扒了两口，我可以真正严肃告诉你们，这部片，它真的是屎。
耗儿鱼,很差,来刷五星的脑子有泡吧，因为一坨屎给另外一坨屎洗白，脑回路有问题
泡泡龙,很差,卧槽里面那拎箱子的小哥不是我们学院同一级表演班的男生么！怎么从演冷暖人生变到演这个玩意儿了！一时间不知道是说他越来越好了还是越来越差了……emmm祝福吧
FrozenElsa,很差,看了枪版，对的，没错，我看了，虽然是枪版，但是要让我给这弱智玩意儿送钱，我实在是做不到。。分就不打了，负分毕竟也是分。不管怎么样这个片子和导演确实火了，人家可能根本就不在乎票房，或者口碑，毕竟能拍出这么个东西，还能让一群专家称赞的人，背后怕不是有干爹哦😏😏
彭又圆,很差,听说涨了0.1分，赶紧来救场。
湿烤人参,很差,如果愚人节上映，我会以为这是中国电影界玩得比较大的一次恶作剧。但他妈这不是啊，这是一次对电影从业者尊严史无前例的操纵和侮辱。支持的请都到”看过”打一分，让豆瓣电影历史排行榜永远铭记什么叫引以为鉴（耻）。
思路乐,很差,【D－－－】看了毕志飞在微博上给国家电影局的领导写的信以及对于评论的禁言处理，我实在忍不住要来打个一星了.....
ccclaude,很差,恭喜技术性触底底底底底底，鼓掌，鼓掌，鼓掌。
思郁,很差,想打0分
新北方,很差,［枪版］0分！这就不是电影，花12年就拍个这？完全是垃圾！全程旁白啊卧槽！极度鬼扯，嘴上的谈梦想妄图掩盖其低俗狗血，可笑至极！所有人都毫无演技包括导演，无数桥段令人乍舌，结尾简直灾难到毁灭宇宙！网红脸的化妆差点呕吐，美术艺术指导更无从谈起，严重怀疑有没有审美，博士的毕导写出的歌词还不如小学生的文笔，也是佩服！
字母君,很差,厉害，居然还念念不忘必有回响的，见网恋女友那段真是谜之搞笑……上来就是歌舞表演和追车戏，居然还有中场休息！！！这思路是印度片吗？？？P.S：IMDb在豆瓣2.0触底前率先达到了1.0分，虽然评价的只有109人……
费费,力荐,我和毕志飞在欧洲七年战争中认识的，在罗斯巴赫战役中他被打伤了眼睛导致他分不清任何颜色，从此就和法国人结下了仇恨。后来拿破仑战争爆发，为了报复法国人，他作为普鲁士间谍混进法军，拿破仑要他写军歌，于是就写下了法国军歌《洋葱之歌》：“我们爱吃洋葱圈圈圈圈……”，受军歌影响，法军开始大量吃洋葱，导致痔疮在法军中肆虐，以至于拿破仑也得了痔疮，最后成为兵败滑铁卢的主要原因，但毕志飞也不幸患上了痔疮。后来他在我的帮助下回到了普鲁士，我们一起参加了普法战争，导演被炮弹击中脑子，最后活了下来但人格分裂成十一个部分，治了四十五年还没治好，最后我们参加了索姆河战役，导演吸入大量由卢米埃尔军工厂制造的毒气，这种毒气让受害者以为自己是个导演，而这种毒气全被毕志飞一个人吸完了，100年后他把他的从军经历拍成了这部电影。
大海里的针,很差,正所谓“存在即合理”，毕志飞导演已经将存在主义美学集大成于一身！看完他的作品，不禁让我想起“存在主义大师”让-保罗·萨特的一部长篇小说——《恶心》。
陀螺门二师兄,很差,比电影更恶心的，是导演的自恋与某些专家无耻的嘴脸.这得是多么伟大的爱情，才能让毕导演的妻子同意拉自己亲爹下水来捧这部电影？  这得是多么伟大的亲情，才能让毕导演的岳父同意卖出老脸举行研讨会来捧这部电影？  这得是多么伟大的友情，才能让一群砖家叫兽出卖自己的声誉来站台？
燕,很差,戲真多……這種人能得勢，中國電影真悲哀
子期已归西,很差,现在可以说是非常想看这部电影的完整版了 导演的个人简介为啥把岳父岳母老婆都写上了 证明你岳父家实力雄厚吗 五千万投资的第一部电影还解释自己缺资金要自己亲力亲为打扫卫生 豆瓣这次可以说是委屈巴巴了 期待你的剩下的两部曲 科科
悠哉的平泽唯,很差,1.导演诚不欺我也，这真的是世界上最好的电影，甚至可以吊打肖申克的救赎！2.导演您辛苦了，拍了十二年还要被人喷，喷子们压根就没看到导演的努力！3.章回体小说的形式才能提供最佳的沉浸式观影体验，真是脚踢头号玩家，拳打黑客帝国哦！(滑稽)
陳小由。,很差,单纯看不舒服，我去看我的马路加学院了(￣∇￣)
小嘢喵子,很差,我的烂片记录里就数国产的最多，为什么打低分，这些导演自己心里还没点逼数吗？
